customer_name,customer_number,psc_flag,pharma_flag,parent_dist
AMS JAKARTA 2,AMS JAKARTA 2,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS JAKARTA 3,AMS JAKARTA 3,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS TANGERANG,AMS TANGERANG,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS BEKASI,AMS BEKASI,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS BOGOR,AMS BOGOR,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS CIREBON,AMS CIREBON,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS BANDUNG,AMS BANDUNG,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS SEMARANG,AMS SEMARANG,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS SOLO,AMS SOLO,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS PURWOKERTO,AMS PURWOKERTO,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS YOGYAKARTA,AMS YOGYAKARTA,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS SURABAYA 1,AMS SURABAYA 1,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS SURABAYA 2,AMS SURABAYA 2,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS MALANG,AMS MALANG,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS JEMBER,AMS JEMBER,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS DENPASAR,AMS DENPASAR,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS MAKASSAR,AMS MAKASSAR,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS BANJARMASIN,AMS BANJARMASIN,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS SAMARINDA,AMS SAMARINDA,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS PONTIANAK,AMS PONTIANAK,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS MEDAN,AMS MEDAN,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS PALEMBANG,AMS PALEMBANG,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS PEKANBARU,AMS PEKANBARU,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS BATAM,AMS BATAM,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS BANDAR LAMPUNG,AMS BANDAR LAMPUNG,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
AMS PADANG,AMS PADANG,,1,159fd640-d5c9-11e7-8975-0f8b37849a21
UDC JAKARTA 2,UDC JAKARTA 2,,1,159900f0-d5c9-11e7-8cd6-2915548ad493
UDC SURABAYA,UDC SURABAYA,,1,159900f0-d5c9-11e7-8cd6-2915548ad493
UDC PALEMBANG,UDC PALEMBANG,,1,159900f0-d5c9-11e7-8cd6-2915548ad493
UDC BANDAR LAMPUNG,UDC BANDAR LAMPUNG,,1,159900f0-d5c9-11e7-8cd6-2915548ad493
UDC YOGYAKARTA,UDC YOGYAKARTA,,1,159900f0-d5c9-11e7-8cd6-2915548ad493
UDC BATAM,UDC BATAM,,1,159900f0-d5c9-11e7-8cd6-2915548ad493
UDC ACEH,UDC ACEH,,1,159900f0-d5c9-11e7-8cd6-2915548ad493
UDC MEDAN,UDC MEDAN,,1,159900f0-d5c9-11e7-8cd6-2915548ad493
UDC MAKASSAR,UDC MAKASSAR,,1,159900f0-d5c9-11e7-8cd6-2915548ad493
UDC PADANG,UDC PADANG,,1,159900f0-d5c9-11e7-8cd6-2915548ad493
UDC SAMARINDA,UDC SAMARINDA,,1,159900f0-d5c9-11e7-8cd6-2915548ad493
